attack_subcategory,metric,haystack,langchain,llamaindex,llmsherpa
Double Layer PDF,隐式注入解析成功率,0.905494,0.190999,0.894264,0.861783
TRM,隐式注入解析成功率,0.996734,0.189281,0.934877,0.806413
Zero Size,隐式注入解析成功率,0.923842,0.152761,0.693191,0.38361
White text,隐式注入解析成功率,0.999852,0.210659,0.99901,0.997031
OCG,隐式注入解析成功率,0.718954,0.125668,0.469796,0.580511
Out-of-bound,隐式注入解析成功率,0.999703,0.121882,0.681116,0.985748
Zero Width,隐式注入解析成功率,0.040677,0.007497,0.039588,0.040974
PDF Mirage,隐式注入解析成功率,0.996075,0.844856,0.995101,0.989646
Misaligned,隐式注入解析成功率,0.999109,0.219789,0.986342,0.960214
